,GID_1_41,year,grp_usd
277,ARG.13_1,2005,8946193537.266912
278,ARG.13_1,2006,9884604246.679995
279,ARG.13_1,2007,11508111479.142134
280,ARG.13_1,2008,13763236683.664238
281,ARG.13_1,2009,12679983487.593319
282,ARG.13_1,2010,14886480625.049345
283,ARG.13_1,2011,17347984143.7112
284,ARG.13_1,2012,18665820536.834015
285,ARG.13_1,2013,19183282137.16911
286,ARG.13_1,2014,16525576620.922688
287,ARG.13_1,2015,17999781934.34226
288,ARG.13_1,2016,14920481872.576223
289,ARG.13_1,2017,16482920953.113888
290,ARG.13_1,2018,13222318388.08171
291,ARG.13_1,2019,11003740125.603386
292,ARG.14_1,2013,22686328412.84502
293,ARG.14_1,2014,19566681947.2674
294,ARG.15_1,1993,5611332063.05958
295,ARG.15_1,1994,6469949599.1965
296,ARG.15_1,1995,6830435492.749559
297,ARG.15_1,1996,7405251372.73656
298,ARG.15_1,1997,7404169019.62656
299,ARG.15_1,1998,6868398086.77946
300,ARG.15_1,1999,7198766067.615211
301,ARG.15_1,2000,8365761406.74884
302,ARG.15_1,2001,7572719035.657599
303,ARG.15_1,2002,4104441233.765614
304,ARG.15_1,2003,4833317228.833384
305,ARG.15_1,2004,4876296387.026878
306,ARG.15_1,2005,6443821191.28767
307,ARG.15_1,2006,5739315558.07318
308,ARG.15_1,2007,6779493835.53914
309,ARG.15_1,2008,8969608587.5558
310,ARG.15_1,2009,6770913663.9885
311,ARG.15_1,2010,8001752444.907741
312,ARG.15_1,2011,10113171689.25668
313,ARG.15_1,2012,11985928180.81988
314,ARG.15_1,2013,9815844244.250399
315,ARG.15_1,2014,
316,ARG.15_1,2015,
317,ARG.15_1,2016,
318,ARG.15_1,2017,
319,ARG.15_1,2018,
320,ARG.15_1,2019,
321,ARG.16_1,2004,2617406260.090228
322,ARG.16_1,2005,2996858112.364475
323,ARG.16_1,2006,3478865791.49838
324,ARG.16_1,2007,3863133198.2246933
325,ARG.16_1,2008,4488333178.577391
326,ARG.16_1,2009,4386316103.62725
327,ARG.16_1,2010,4997376172.448569
328,ARG.16_1,2011,5862350526.304686
329,ARG.16_1,2012,6411810406.945021
330,ARG.16_1,2013,6779681147.104827
331,ARG.16_1,2014,6253870840.302617
332,ARG.16_1,2015,7029934983.0016
333,ARG.16_1,2016,5736979845.179359
334,ARG.16_1,2017,6516860653.989709
335,ARG.16_1,2018,5423890640.697563
336,ARG.16_1,2019,4501063701.041132
337,ARG.17_1,1993,3376399786.0390143
338,ARG.17_1,1994,3701382883.2338343
339,ARG.17_1,1995,3858018557.105952
340,ARG.17_1,1996,3663349322.637852
341,ARG.17_1,1997,3936182293.315324
342,ARG.17_1,1998,4171857048.8006577
343,ARG.17_1,1999,4227121591.60313
344,ARG.17_1,2000,4359944700.682479
345,ARG.17_1,2001,4086233947.857245
346,ARG.17_1,2002,1876929573.214242
347,ARG.17_1,2003,2225069034.358766
348,ARG.17_1,2004,665891978.8896649
349,ARG.17_1,2005,767304213.1829042
350,ARG.17_1,2006,838915670.0191956
351,ARG.17_1,2007,945180384.7010084
352,ARG.17_1,2008,1068848702.3237796
353,ARG.17_1,2009,965705792.7553631
354,ARG.17_1,2010,1073813729.64658
355,ARG.17_1,2011,1196869788.7183487
356,ARG.17_1,2012,1176854682.461601
357,ARG.17_1,2013,1069275119.2759176
358,ARG.17_1,2014,950461325.6400025
359,ARG.17_1,2015,976969685.1577863
360,ARG.19_1,1993,3977373390.45172
361,ARG.19_1,1994,4567226040.336929
362,ARG.19_1,1995,4553814862.7035
363,ARG.19_1,1996,4672415185.18544
364,ARG.19_1,1997,4836727377.10623
365,ARG.19_1,1998,4839880706.67276
366,ARG.19_1,1999,4403645428.4454
367,ARG.19_1,2000,4298936340.0060005
368,ARG.19_1,2001,4015753336.44654
369,ARG.19_1,2002,1753410931.482568
370,ARG.19_1,2003,2027327182.679846
371,ARG.19_1,2004,2154736384.5555
372,ARG.19_1,2005,2311897576.22397
373,ARG.19_1,2006,2372055187.209148
374,ARG.19_1,2007,2511866679.8229117
375,ARG.21_1,1993,29750466995.1265
376,ARG.21_1,1994,31338815143.359756
377,ARG.21_1,1995,30736162871.09154
378,ARG.21_1,1996,30233776989.351162
379,ARG.21_1,1997,30545902827.98451
380,ARG.21_1,1998,30018846509.16049
381,ARG.21_1,1999,27353843442.831272
382,ARG.21_1,2000,26435332908.445656
383,ARG.21_1,2001,24398802559.998734
384,ARG.21_1,2002,11094981124.69221
385,ARG.21_1,2003,13535457428.849472
386,ARG.21_1,2004,16415018442.01783
387,ARG.21_1,2005,18528588255.925003
388,ARG.21_1,2006,21604073083.56718
389,ARG.21_1,2007,27660653281.257877
390,ARG.21_1,2008,33458859448.78176
391,ARG.21_1,2009,30214796983.69163
392,ARG.21_1,2010,37967639438.0038
393,ARG.21_1,2011,45046414378.491684
394,ARG.21_1,2012,48439514336.999886
395,ARG.21_1,2013,50360036380.92612
396,ARG.21_1,2014,45473788749.44504
397,ARG.21_1,2015,50378994370.18389
398,ARG.21_1,2016,43419304091.319
399,ARG.21_1,2017,49918403121.274796
400,ARG.21_1,2018,40804263748.50168
401,ARG.21_1,2019,35449630238.11125
402,ARG.23_1,2000,
403,ARG.23_1,2001,
404,ARG.23_1,2002,
405,ARG.23_1,2003,
406,ARG.23_1,2004,
407,ARG.23_1,2005,
408,ARG.23_1,2006,
409,ARG.23_1,2007,
410,ARG.24_1,1996,6815202010.391838
411,ARG.24_1,1997,7125491301.4393015
412,ARG.24_1,1998,7197789830.893265
413,ARG.24_1,1999,6601849990.831836
414,ARG.24_1,2000,6773295715.251987
415,ARG.24_1,2001,6490481457.423783
416,ARG.24_1,2002,3446962354.744764
417,ARG.24_1,2003,4487226958.358095
418,ARG.24_1,2004,3671013315.010916
419,ARG.24_1,2005,4701664363.759604
420,ARG.24_1,2006,5857826837.736984
421,ARG.24_1,2007,6423752149.542432
422,ARG.24_1,2008,8877843557.63316
423,ARG.24_1,2009,9138703572.41122
424,ARG.24_1,2010,9012636420.493832
425,ARG.24_1,2011,12139349084.602524
426,ARG.24_1,2012,14658461022.826027
427,ARG.24_1,2013,15982299740.98719
428,ARG.24_1,2014,
429,ARG.24_1,2015,
430,ARG.24_1,2016,
431,ARG.24_1,2017,
432,ARG.24_1,2018,
433,ARG.24_1,2019,
434,AUS.2_1,1953,
435,AUS.2_1,1976,3997528332.8599997
436,AUS.2_1,1984,6716198384.6242
437,AUS.2_1,1985,5903134773.6344795
438,AUS.2_1,1986,6144649624.87848
439,AUS.2_1,1987,7071281782.033271
440,AUS.2_1,1988,8487232923.55445
441,AUS.2_1,1989,8982194991.85065
442,AUS.2_1,1990,10239784738.878239
443,AUS.2_1,1991,10844161786.27507
444,AUS.2_1,1992,10364894063.83537
445,AUS.2_1,1993,9861549223.5436
446,AUS.2_1,1994,10913941620.98919
447,AUS.2_1,1995,11198768612.57516
448,AUS.2_1,1996,12115901010.630001
449,AUS.2_1,1997,11897026728.97413
450,AUS.2_1,1998,10366573041.261
451,AUS.2_1,1999,11123567230.26773
452,AUS.2_1,2000,10272091372.51115
453,AUS.2_1,2001,9666954321.51684
454,AUS.2_1,2002,10501601352.432
455,AUS.2_1,2003,13758533277.67748
456,AUS.2_1,2004,16334421480.00208
457,AUS.2_1,2005,17540487841.4571
458,AUS.2_1,2006,17975111962.67551
459,AUS.2_1,2007,21169610417.92016
460,AUS.2_1,2008,22635802407.91309
461,AUS.2_1,2009,22235122013.423363
462,AUS.2_1,2010,28517706782.702553
463,AUS.2_1,2011,33684325519.643238
464,AUS.2_1,2012,35186381342.176025
465,AUS.2_1,2013,33941674535.263203
466,AUS.2_1,2014,31302314785.40628
467,AUS.2_1,2015,24408562603.31832
468,AUS.2_1,2016,25210239853.64259
469,AUS.2_1,2017,26854552490.75888
470,AUS.2_1,2018,26814269114.457172
471,AUS.2_1,2019,25885663927.99892
472,AUS.2_1,2020,26527900927.563
473,AUS.5_1,1953,
474,AUS.5_1,1976,81147218765.022
475,AUS.5_1,1984,114522701975.98848
476,AUS.5_1,1985,98210981460.86995
477,AUS.5_1,1986,101245904151.00801
478,AUS.5_1,1987,117141935329.30174
479,AUS.5_1,1988,144277409788.08035
480,AUS.5_1,1989,152298062003.2592
481,AUS.5_1,1990,190090656434.91388
482,AUS.5_1,1991,190852451956.7011
483,AUS.5_1,1992,179567436299.39206
484,AUS.5_1,1993,166945038778.019
485,AUS.5_1,1994,183978719512.1632
486,AUS.5_1,1995,193843180165.135
487,AUS.5_1,1996,215313249453.35547
488,AUS.5_1,1997,211983099658.0891
489,AUS.5_1,1998,187259957920.6011
490,AUS.5_1,1999,199957345805.28906
491,AUS.5_1,2000,187586361372.31528
492,AUS.5_1,2001,172886797209.09924
493,AUS.5_1,2002,185393926816.14825
494,AUS.5_1,2003,229202855131.76627
495,AUS.5_1,2004,272136317989.04266
496,AUS.5_1,2005,288466654461.91516
497,AUS.5_1,2006,290525171870.33124
498,AUS.5_1,2007,333913601422.78156
499,AUS.5_1,2008,350293075353.0814
500,AUS.5_1,2009,338669834308.2029
501,AUS.5_1,2010,412539635683.7816
502,AUS.5_1,2011,489275606167.7828
503,AUS.5_1,2012,503783526676.984
504,AUS.5_1,2013,477045588926.9277
505,AUS.5_1,2014,450665881830.1404
506,AUS.5_1,2015,390322140145.9099
507,AUS.5_1,2016,399234593189.7774
508,AUS.5_1,2017,430005618327.81793
509,AUS.5_1,2018,426723500534.1217
510,AUS.5_1,2019,407576114560.7694
511,AUS.5_1,2020,402375211487.20447
512,AUS.6_1,1953,
513,AUS.6_1,1976,1656442416.176
514,AUS.6_1,1984,3834849640.61793
515,AUS.6_1,1985,3261060646.05308
516,AUS.6_1,1986,3460766148.45506
517,AUS.6_1,1987,3872949400.6112003
518,AUS.6_1,1988,4379344956.90024
519,AUS.6_1,1989,4936902542.40469
520,AUS.6_1,1990,5462587593.698601
521,AUS.6_1,1991,5837730917.75673
522,AUS.6_1,1992,5153897738.8556
523,AUS.6_1,1993,4795976075.1902
524,AUS.6_1,1994,5099771094.10457
525,AUS.6_1,1995,5489784551.389111
526,AUS.6_1,1996,6179407799.2843
527,AUS.6_1,1997,6053858329.01994
528,AUS.6_1,1998,5546474527.167
529,AUS.6_1,1999,6407213334.94368
530,AUS.6_1,2000,6045786251.9076
531,AUS.6_1,2001,5576098279.84869
532,AUS.6_1,2002,6286657360.18947
533,AUS.6_1,2003,7856504299.16352
534,AUS.6_1,2004,8997643584.7664
535,AUS.6_1,2005,9659513587.387249
536,AUS.6_1,2006,10269487613.31129
537,AUS.6_1,2007,12268806053.45046
538,AUS.6_1,2008,13336311399.174221
539,AUS.6_1,2009,14040395236.47554
540,AUS.6_1,2010,15655333894.49868
541,AUS.6_1,2011,18500257176.01696
542,AUS.6_1,2012,19440741092.65706
543,AUS.6_1,2013,18972953248.4544
544,AUS.6_1,2014,18494014283.74636
545,AUS.6_1,2015,16560860388.888199
546,AUS.6_1,2016,16157976833.906881
547,AUS.6_1,2017,17105706712.5516
548,AUS.6_1,2018,16835993096.38512
549,AUS.6_1,2019,16086220727.29266
550,AUS.6_1,2020,16595283953.96466
551,AUS.7_1,1953,
552,AUS.7_1,1976,30576760524.6
553,AUS.7_1,1984,49272972284.16438
554,AUS.7_1,1985,41628753711.105
555,AUS.7_1,1986,42558749563.9977
556,AUS.7_1,1987,48413135800.899475
557,AUS.7_1,1988,60999165186.141
558,AUS.7_1,1989,66215210297.81643
559,AUS.7_1,1990,77630099740.50742
560,AUS.7_1,1991,76490143082.05028
561,AUS.7_1,1992,74709196908.67079
562,AUS.7_1,1993,73437422815.73634
563,AUS.7_1,1994,81875773241.70288
564,AUS.7_1,1995,88175596262.40154
565,AUS.7_1,1996,96690937372.68524
566,AUS.7_1,1997,96534181416.26485
567,AUS.7_1,1998,85252202510.9613
568,AUS.7_1,1999,90495581187.03302
569,AUS.7_1,2000,84397861038.1637
570,AUS.7_1,2001,79398697945.62878
571,AUS.7_1,2002,90801620678.97702
572,AUS.7_1,2003,112044926309.1216
573,AUS.7_1,2004,137197188797.94502
574,AUS.7_1,2005,154250564841.7425
575,AUS.7_1,2006,168670732880.2327
576,AUS.7_1,2007,203359564673.7175
577,AUS.7_1,2008,216124033486.4238
578,AUS.7_1,2009,223228983166.95523
579,AUS.7_1,2010,252580319510.95114
580,AUS.7_1,2011,296190079586.5148
581,AUS.7_1,2012,313154624189.6219
582,AUS.7_1,2013,288272992358.4408
583,AUS.7_1,2014,271799955888.9823
584,AUS.7_1,2015,221548461668.49356
585,AUS.7_1,2016,222342853964.11603
586,AUS.7_1,2017,244840828600.9984
587,AUS.7_1,2018,248838883768.5682
588,AUS.7_1,2019,238065701085.0156
589,AUS.7_1,2020,230808979120.03397
590,AUS.8_1,1953,
591,AUS.8_1,1976,19274072836.546
592,AUS.8_1,1984,26927310950.42787
593,AUS.8_1,1985,23087342176.631283
594,AUS.8_1,1986,23016037790.6027
595,AUS.8_1,1987,26004272027.878246
596,AUS.8_1,1988,31385303449.94165
597,AUS.8_1,1989,33726042869.40457
598,AUS.8_1,1990,39388154203.49488
599,AUS.8_1,1991,38824872269.2334
600,AUS.8_1,1992,36136659228.64908
601,AUS.8_1,1993,34341374116.179237
602,AUS.8_1,1994,37632813234.50049
603,AUS.8_1,1995,38919806339.57885
