Weight,Year,SI,SK,TR,UA,XK,AL,AT,BA,BE,BG,CH,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IS,IT,LI,LT,LU,LV,ME,MK,MT,NL,NO,PL,PT,RO,RS,SE
pop,2010,2276865.75,5303496.5,72763512,48795820,1619958.5,2949395,8633267,3553116,11383087,7589903,7740286,1227005.25,10430614,81234808,5540754.5,1282832.625,11691883,48450528,6302567.5,66432564,4311464.5,10290768,4524015.5,349185.96875,62037724,31711.083984375,3072174,468448.71875,2523550,699617.1875,1977651.5,369994.1875,17496376,5265550.5,38955148,10434859,20221266,7360123.5,10732405
pop,2015,2337564.25,5311325,75746032,47564100,1775316,2925623,8828027,3416406.75,11725334,7671118,8099217,1360209,10594485,80185688,5706779,1318614.375,11626418,51997576,6464753.5,69060760,4242302.5,9950706,4954395,371549.34375,63519680,32770.18359375,2913031,498652.90625,2767673,696688.75,1996024.75,380176.59375,17928796,5521079,39241976,10514432,20797540,7248741,11187460
popcount,1900,961131.375,2895136.75,12090814,25054676,547661.25,791524.5,6162488.5,1423139.25,6606856,3330815.5,3334622.75,171388.46875,8596856,53614464,2158810,796755.9375,4428720.5,17171964,2847670.75,40033660,1986312.5,6561922.5,4101669.5,66376.453125,29801170,15665.1826171875,1795730.25,248513,1476607.375,251222.828125,730815.5625,33012.37890625,5173345.5,2314969.25,24699662,4634494,10986636,3969465.25,5364368.5
popcount,1910,1056812.375,3019055.75,12339924,30832370,606151.6875,866452,6838974.5,1576846.625,7322212,3867968,3737104,197987.609375,9345595,61955840,2438191.75,833299.6875,4757869,18348700,3271236.75,40851956,2194641.5,7149322.5,4015982,66875.3125,31872066,17886.3125,1995294,270470,1640593.125,281013.03125,818052.4375,37249.8203125,5939973,2469647.25,26626638,5059806,11889415,4362056,5770008.5
popcount,1920,1179822.875,3088165.5,13541414,31350768,663706.5,926892.375,6611282,1799478,7374616.5,4340138.5,3833793.5,225480.484375,9609551,60121992,2824789.5,874080.75,5106324.5,19582392,3572129.25,38990316,2493290.25,7468792.5,3985401.75,83383.4921875,35385008,17214.734375,2094875.25,273907,1724303,311073.3125,889730.75,41487.25,6727829.5,2733395.75,24039802,5199601.5,12375915,4751923,6076735.5
popcount,1930,1336693.5,3422518.25,15024474,29709226,721972.5625,972154.5,6894311.5,2053461.375,8041874.5,5240764.5,4033276.5,252810.46875,10411843,64340308,3201727.25,921101.125,5697387.5,21612150,3868453.5,41072756,2836584,8117584,2697939.25,95413.3359375,37804924,17264.759765625,2207714.5,291321.125,1815460.375,341006.5,968830.4375,45724.76171875,7721322,2903031,28199508,5624299,14253863,5159698,6459646.5
popcount,1940,1505347.625,3460792,17999606,31627246,781886.1875,1064236,6896355.5,2343382.25,8304524.5,6591145,4222193,280462.8125,9561131,68996760,3498392.25,972625.5,6543189,23676586,3932388.25,40873600,3226004.75,8780630,2714439.25,107939.78125,40510432,17464.751953125,2590077.25,301292.15625,1882286.625,371673.4375,1055579.25,49962.48046875,8639302,3108666.75,27209642,6330762,15162584,5555150.5,6710249
popcount,1950,1699059.5,3507580.25,20399366,37262180,843676.6875,1209528.75,7108895,2674497,8637772,7283040,4610504,364541.71875,9043624,67903736,3562323.5,1014750.5,6808172.5,25531204,4263281.5,41525080,3661910.75,9440188,6380120,117591.796875,42817704,19196.341796875,2541231.5,300856.03125,1868097.75,403226.5625,1148180.5,54200.4921875,9682979,3373489.5,24924474,6903520,16339576,5947057.5,7420270
popcount,1960,1811976.75,4120004.25,26627544,42752232,982882.75,1576637.875,7241261,3155542.5,9274512,7904587,5201596.5,370436.59375,9240484,72305912,3850517.75,1027872.5,7517140.5,27624916,4711199,45424972,3876320.25,10086824,7007527,144206.1875,45724916,21041.728515625,2751194.5,332457.25,2027127.375,436707.625,1300211,54200.921875,10981100,3704498.75,29608726,7261077,18452040,6306184,7933016.5
popcount,1970,1913678.25,4473130,33254058,47261356,1195344.25,2061913.625,7669523,3513239,9839606,8543066,5987038.5,375560.59375,9348723,77481192,4190529.5,1042248.5625,7959131,30349004,4897098.5,50539656,4026760.25,10541313,7457072,167220.453125,49269776,24326.001953125,3103114,358534.46875,2257325.75,471135.3125,1468149.875,52742.88671875,12331858,4017218.5,32468472,7159821,20279200,6582827.5,8523578
